Year,Site,Database_Name,OID_,Latitude,Longitude,County,Park_Size_Ha,AA_N,HL_N,IS_N,Total_N,M_Dragged,Tested,DIN_Bburg,DIN_Babesia,DIN_Ap,Occu_Predicted_ModelAverage,Occu_Predicted_Connectivity,Connect300v1_ParkBuffer1000,HU_Density_Km_Park1000,HU_Density_Km_Park500,HU_Density_Km_Park100,PCT_TCC_PARK_BUFFER1000,PCT_TCC_PARK_BUFFER500,PCT_TCC_PARK_BUFFER100,Prop_Water_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer1000,Prop_BarrenLand_ParkBuffer500,Prop_BarrenLand_ParkBuffer100,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,Road_Density_km_ParkBuffer100,Road_Density_km_ParkBuffer500,Road_Density_km_ParkBuffer1000,PCT_TCC_PARK,Predicted_Connectivity_Water,Predicted_cit,Occu_Predicted_TCC,Occu_Predicted_Impervious
2022,Kissena Park,Kissena Park,16,40.74522,-73.80792,Queens,100.06,0,0,0,0,1180,0,0,0,0,0.002463222,0.003797392,6.999765589,726.7885296,704.0338429,557.9083959,14.51101928,20.11078652,33.06469166,0.00614537,0.01303371,0.03506651,0,0,0,62.62619199,52.06179775,30.3688029,10462.26646,13669.63,309989.834,42.19,0,0,0,0
2022,Maplegrove Cemetery,Maple Grove Cemetery,11,40.71033,-73.82331,Queens,27.35,0,0,0,0,1400,0,0,0,0,0.001061182,0.01165965,5.842788566,519.5049033,413.5147247,276.4441913,10.05742862,9.271051529,16.72289157,0.001290531,0,0,0,0,0,71.81497016,70.8797654,49.46815835,10597.76081,14554.6635,131349.473,25.65,0,0,0,0
2022,Muttontown Preserve,Muttontown County Preserve,29,40.826683,-73.536654,Nassau,211.18,1,1,165,167,1500,100,47.85,44.55,6.6,0.999888155,1,174.378717,3701.671339,3015.914508,1241.514375,60.30287977,65.61160546,73.46405413,0.002148084,0.00401053,0.00902171,0.00013426,0.00025066,2.82E-04,10.05866953,8.352801103,4.233154779,12692.32589,14887.4053,70936.3018,77.91,1,1,1,1
2022,North Alley Pond Park,Alley Pond Park,21,40.759151,-73.74491,Queens,268.59,0,0,2,2,1500,2,0,0,0,0.374042215,0.044277852,12.80399833,1756.779112,1558.307353,761.8745454,27.89178781,32.66279505,46.1075784,0.041874593,0.07203072,0.16049652,0,0,0,51.19358863,46.42066317,31.11977352,11695.96398,14702.4349,62829.8179,59.49,0.49,0.07,0.09,0.06
2022,Prospect Park I,Prospect Park,6,40.66499,-73.96885,Brooklyn,166.91,0,0,0,0,1570,0,0,0,0,0.002888468,0.020098495,8.657407468,59.90686678,55.72499665,58.39494096,18.56891799,24.02855943,40.82039163,0.01268091,0.0250595,0.05773126,0.00372157,0.00741985,0.01789332,63.55796003,55.15805684,26.8298447,2982.877188,3041.58198,86515.1523,63,0,0.01,0.01,0
2022,Prospect Park II,Prospect Park,5,40.65692,-73.97167,Brooklyn,166.91,0,0,0,0,1500,0,0,0,0,0.002888468,0.020098495,8.657407468,59.90686678,55.72499665,58.39494096,18.56891799,24.02855943,40.82039163,0.01268091,0.0250595,0.05773126,0.00372157,0.00741985,0.01789332,63.55796003,55.15805684,26.8298447,2982.877188,3041.58198,86515.1523,63,0,0.01,0.01,0
2022,Queens County Farm Museum,Queens County Farm Park,19,40.7491,-73.724349,Queens,21.06,0,0,0,0,1100,0,0,0,0,0.006862104,0.044636064,12.84691042,117.8812925,96.94420341,60.26632726,18.45145798,19.237061,27.04115226,0,0,0,0,0,0,56.04202401,58.20009242,38.89300412,4800.371773,6244.75796,25790.5973,34.53,0,0.02,0,0.02
2022,Stillwell Woods Park,Stillwell Woods County Park,30,40.837222,-73.465772,Nassau,131.73,0,0,29,29,1700,29,11,1,0,0.99979287,0.999999986,120.6203692,1077.143847,819.6254467,468.8101702,58.99054661,59.72505712,66.13801337,0.007862224,0,0,0,0,0,14.25093598,13.44592536,4.915472779,7757.07057,14117.8427,153124.654,66.04,1,1,1,1
2022,SUNY Old Westbury,SUNY Old Westbury,26,40.79468,-73.56864,Nassau,42.11,0,0,98,98,1500,98,19,2,0,0.997738693,0.999892813,74.95425034,4596.548344,2949.295496,916.2378249,46.85583456,55.9193314,76.15889029,0.002067947,0.00508721,0,0,0,0,13.40827179,13.13735465,9.447667087,8849.755748,13293.8448,82197.6285,85.77,1,0.99,0.98,1
2022,The Evergreens Cemetery,The Evergreens Cemetery,7,40.6829,-73.89981,Brooklyn,114.18,0,0,0,0,1600,0,0,0,0,0.001884682,0.013283288,6.514613012,195.9997131,196.5527768,238.9025539,11.81695688,18.03338392,23.20693451,0.010260131,0.01669196,0,0.00072546,0.00151745,0.00E+00,68.30738937,57.25059614,39.42762796,3336.650187,7942.09253,53836.6892,27.13,0,0,0,0
